,maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2,case_type,move_dominant_agents
697,698,15,['000'],0,A,0,0,,
698,699,15,['010'],2,B,0,0,,
699,700,15,['000'],0,S,0,0,,
700,701,15,['000'],0,A,0,0,,
701,702,15,['000'],0,B,0,0,,
702,703,15,['000'],0,S,0,0,,
703,704,15,['001'],1,A,0,0,,
704,705,15,['000'],0,B,0,0,,
705,706,15,['001'],1,S,0,0,,
706,707,15,['010'],2,A,0,0,,
707,708,15,['000'],0,B,0,0,,
708,709,15,['000'],0,S,0,0,,
709,710,15,['000'],0,A,0,0,,
710,711,14,['010'],2,B,0,0,,
711,712,15,['000'],0,S,0,0,,
712,713,15,['000'],0,A,0,0,,
713,714,15,['010'],2,B,0,0,,
714,715,15,['000'],0,S,0,0,,
715,716,15,['000'],0,A,0,0,,
716,717,15,['010'],2,B,0,0,,
717,718,15,['001'],1,S,0,0,,
718,719,15,['000'],0,A,0,0,,
719,720,15,['010'],2,B,0,0,,
720,721,15,['010'],2,S,0,0,,
721,722,15,['000'],0,A,0,0,,
722,723,14,['001'],1,B,0,0,,
723,724,15,['000'],0,S,0,0,,
724,725,15,['001'],1,A,0,0,,
725,726,15,['010'],2,B,0,0,,
726,727,15,['010'],2,S,0,0,,
727,728,15,['000'],0,A,0,0,,
728,729,15,['010'],2,B,0,0,,
729,730,15,['000'],0,S,0,0,,
730,731,15,['000'],0,A,0,0,,
731,732,15,['000'],0,B,0,0,,
732,733,15,['010'],2,S,0,0,,
733,734,15,['000'],0,A,0,0,,
734,735,15,['000'],0,B,0,0,,
735,736,15,['000'],0,S,0,0,,
736,737,15,['000'],0,A,0,0,,
737,738,15,['000'],0,B,0,0,,
738,739,15,['000'],0,S,0,0,,
739,740,15,['010'],2,A,0,0,,
740,741,13,['010'],2,B,0,0,,
741,742,15,['000'],0,S,0,0,,
742,743,15,['010'],2,A,0,0,,
743,744,13,['010'],2,B,0,0,,
744,745,15,['000'],0,S,0,0,,
745,746,15,['000'],0,A,0,0,,
746,747,15,['010'],2,B,0,0,,
747,748,15,['000'],0,S,0,0,,
748,749,15,['000'],0,A,0,0,,
749,750,15,['010'],2,B,0,0,,
750,751,15,['010'],2,S,0,0,,
751,752,15,['010'],2,A,0,0,,
752,753,15,['000'],0,B,0,0,,
753,754,15,['000'],0,S,0,0,,
754,755,15,['000'],0,A,0,0,,
755,756,15,['001'],1,B,0,0,,
756,757,15,['000'],0,S,0,0,,
757,758,15,['001'],1,A,0,0,,
758,759,15,['010'],2,B,0,0,,
759,760,15,['000'],0,S,0,0,,
760,761,15,['000'],0,A,0,0,,
761,762,14,['010'],2,B,0,0,,
762,763,15,['000'],0,S,0,0,,
763,764,15,['000'],0,A,0,0,,
764,765,15,['000'],0,B,0,0,,
765,766,15,['010'],2,S,0,0,,
766,767,15,['000'],0,A,0,0,,
767,768,15,['001'],1,B,0,0,,
768,769,15,['001'],1,S,0,0,,
769,770,15,['000'],0,A,0,0,,
770,771,15,['010'],2,B,0,0,,
771,772,15,['000'],0,S,0,0,,
772,773,15,['010'],2,A,0,0,,
773,774,15,['010'],2,B,0,0,,
774,775,15,['000'],0,S,0,0,,
775,776,15,['000'],0,A,0,0,,
776,777,15,['010'],2,B,0,0,,
